id,domain,text,label,discourse_subtype,discourse_tree_json,unsupported_nucleus,evidence_density,contrast_density,closure_strength,weak_to_strong_inference,support_balance,defeater_presence,nucleus_pressure
dcw_0380,legal complaint,"Although a policy exception could be relevant, it is ignored. Since one anecdotal report appears, breach of warranty must be true.",hallucinated,premature_closure,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.874,0.284,0.341,0.641,0.564,0.381,0.021,0.611
dcw_0172,medical diagnosis,a single ambiguous clue is mentioned. This clearly proves a medication side effect. Therefore the conclusion is certain.,hallucinated,defeater_suppression,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.832,0.327,0.264,0.743,0.546,0.052,0.026,0.585
dcw_0038,financial reasoning,an unverified assumption is mentioned. This clearly proves high-risk investment. Therefore the conclusion is certain.,hallucinated,unsupported_nucleus_promotion,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.841,0.006,0.147,0.771,0.717,0.199,0.312,0.757
dcw_0147,financial reasoning,"portfolio concentration risk is asserted as the central conclusion, while the available evidence is only one anecdotal report.",hallucinated,contradiction_omission,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.855,0.243,0.047,0.883,0.895,0.379,0.027,0.885
dcw_0435,legal complaint,The reasoning jumps from a weak correlation to merchant liability. No competing explanation is discussed.,hallucinated,defeater_suppression,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.651,0.091,0.331,0.916,0.633,0.411,0.047,0.744
dcw_0820,legal complaint,"Because observed symptoms and prior measurements both support bank chargeback eligibility, and the alternative merchant liability is considered, the conclusion is cautiously accepted.",grounded,qualified_conclusion,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.043,0.826,0.634,0.092,0.045,0.556,0.351,0.337
dcw_0311,medical diagnosis,"Although a timing inconsistency could be relevant, it is ignored. Since a weak correlation appears, gout must be true.",hallucinated,contradiction_omission,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.68,0.177,0.016,0.587,0.786,0.027,0.14,0.588
dcw_0261,financial reasoning,"an unverified assumption suggests a possibility, so the explanation concludes expense misclassification without considering alternatives.",hallucinated,weak_evidence_amplification,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.867,0.235,0.29,0.926,0.632,0.299,0.061,0.844
dcw_0681,legal complaint,"retrieved documents suggests valid small-claims escalation, but a contradictory observation weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,consistent_abduction,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Cause""}, {""role"": ""Nucleus"", ""relation"": ""Condition""}]}",0.252,0.531,0.652,0.027,0.052,0.471,0.695,0.473
dcw_0639,technical troubleshooting,"prior measurements suggests OAuth token failure, but a policy exception weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,defeater_preservation,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.201,0.729,0.285,0.15,0.044,0.807,0.726,0.232
dcw_0103,travel planning,"a superficial similarity suggests a possibility, so the explanation concludes water logistics issue without considering alternatives.",hallucinated,contradiction_omission,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.579,0.244,0.109,0.933,0.856,0.51,0.223,0.907
dcw_0456,legal complaint,"an unverified assumption suggests a possibility, so the explanation concludes valid small-claims escalation without considering alternatives.",hallucinated,premature_closure,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.91,0.38,0.218,0.677,0.875,0.367,0.045,0.64
dcw_0139,technical troubleshooting,The reasoning jumps from an unverified assumption to database schema mismatch. No competing explanation is discussed.,hallucinated,defeater_suppression,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.961,0.167,0.145,0.803,0.611,0.08,0.032,0.971
dcw_0600,financial reasoning,"The claim is supported by observed symptoms. However, income stability remains possible, so the conclusion is qualified.",grounded,qualified_conclusion,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.301,0.977,0.575,0.173,0.176,0.646,0.334,0.371
dcw_0432,travel planning,"Although an alternative explanation could be relevant, it is ignored. Since one anecdotal report appears, water logistics issue must be true.",hallucinated,contradiction_omission,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.687,0.259,0.014,0.662,0.857,0.422,0.227,0.609
dcw_0162,technical troubleshooting,"SSL certificate problem is asserted as the central conclusion, while the available evidence is only a superficial similarity.",hallucinated,defeater_suppression,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.588,0.06,0.041,0.687,0.592,0.381,0.063,0.738
dcw_0495,travel planning,"a weak correlation suggests a possibility, so the explanation concludes weather-related risk without considering alternatives.",hallucinated,weak_evidence_amplification,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.698,0.047,0.307,0.96,0.748,0.506,0.224,0.862
dcw_0048,medical diagnosis,The reasoning jumps from a single ambiguous clue to colon cancer. No competing explanation is discussed.,hallucinated,contradiction_omission,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.761,0.137,0.049,0.673,0.77,0.241,0.209,0.95
dcw_0029,consumer dispute,The reasoning jumps from one anecdotal report to settlement eligibility. No competing explanation is discussed.,hallucinated,unsupported_nucleus_promotion,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.73,0.066,0.241,0.952,0.93,0.487,0.272,0.648
dcw_0044,medical diagnosis,"an unverified assumption suggests a possibility, so the explanation concludes colon cancer without considering alternatives.",hallucinated,premature_closure,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.984,0.114,0.302,0.601,0.533,0.27,0.202,0.859
